,FCLTY_NM,ITEM_NM,TROBL_TY_NM,COURSE_PRC,COURSE_NM,COURSE_NO,CTPRVN_NM,SIGNGU_NM
0,시화그랜드볼링센타,볼링,0.0,110000.0,자유볼링,4591014,경기,시흥시
9,다모아탁구교실,탁구,0.0,110000.0,레슨(월회비),4243014,경남,진주시
16,메디요가,요가,0.0,110000.0,요가,5312014,전북,군산시
23,비벨르,헬스,0.0,110000.0,1:1 재활(펑셔널) 트레이닝,6540015,충남,천안시
28,민클럽,기타종목,0.0,110000.0,당구,5814016,경남,밀양시
30,한숲스포츠센터,수영,0.0,140000.0,자유수영,51886,경기,군포시
47,한숲스포츠센터,수영,0.0,140000.0,자유수영,790001,경기,군포시
51,한숲스포츠센터,수영,0.0,150000.0,자유수영,2483007,경기,군포시
56,한숲스포츠센터,헬스,0.0,105000.0,헬스,2483010,경기,군포시
70,종로태권도아카데미,태권도,0.0,185000.0,태권도,5183025,서울,종로구
79,하이운동발달센터,기타종목,0.0,110000.0,특수체육,3864015,대전,서구
88,마루한태권도장,태권도,0.0,95000.0,태권도,345007,대구,북구
89,커브스운정클럽,헬스,0.0,110000.0,커브스근력운동,1419001,경기,파주시
109,바디샵필라테스피티,필라테스,0.0,110000.0,그룹필라테스 이용권,6047014,서울,양천구
118,천하체육관,기타종목,0.0,110000.0,킥복싱 무에타이 주짓수,3689014,충북,옥천군
127,창무관,기타종목,0.0,110000.0,특공무술,6717014,서울,도봉구
132,돌산체육관 탁구전용구장,탁구,0.0,45000.0,탁구(저녁),1485002,전남,여수시
133,돌산체육관 탁구전용구장,탁구,0.0,45000.0,탁구(오후),1485001,전남,여수시
138,종로구청 올림픽기념국민생활관,수영,0.0,77000.0,휴강-수영강습09시(월~금5일반)강습,216119,서울,종로구
139,종로구청 올림픽기념국민생활관,수영,0.0,77000.0,휴 강-수영19시(월~금 5일반)강습,2763002,서울,종로구
141,종로구청 올림픽기념국민생활관,수영,0.0,77000.0,휴강-수영강습10시(월~금5일반)강습,216131,서울,종로구
146,종로구시설관리공단 종로문화체육센터,수영,0.0,85000.0,수영(화목)강습반+헬스,216100,서울,종로구
147,종로구시설관리공단 종로문화체육센터,수영,0.0,38720.0,수영(화목) 강습반,216102,서울,종로구
149,종로구시설관리공단 종로문화체육센터,헬스,0.0,51700.0,헬스,3259018,서울,종로구
152,종로구시설관리공단 종로문화체육센터,수영,0.0,55000.0,수영(월수금) 강습반,216103,서울,종로구
154,종로구시설관리공단 종로문화체육센터,수영,0.0,38720.0,수영(월수) 강습반,423015,서울,종로구
159,주아사힘 춘천지점,헬스,0.0,110000.0,근신경촉진운동,3444014,강원,춘천시
163,주아사힘 춘천지점,헬스,0.0,110000.0,신체기능향상운동,3444016,강원,춘천시
164,키드짐아동청소년발달연구소,기타종목,0.0,110000.0,특수체육 (추가비용 있음) 문의,9056,경기,화성시
175,키드짐아동청소년발달연구소,기타종목,0.0,110000.0,특수체육,331175,경기,화성시
195,해동검도무사본관,검도,0.0,95000.0,해동검도95000,1954001,전남,화순군
196,해동검도무사본관,검도,0.0,110000.0,해동검도,4940024,전남,화순군
206,커브스신중동클럽,헬스,0.0,110000.0,커브스여성전용헬스,4870015,경기,부천시
213,김현준,태권도,0.0,110000.0,태권도,6491014,전북,완주군
214,바위클라이밍짐,기타종목,0.0,110000.0,클라이밍,5463014,광주,동구
215,브로짐 1호점,헬스,0.0,110000.0,"헬스,센터복,락카,2회이용 1개월",3258018,전북,익산시
216,킹덤 피트니스,헬스,0.0,110000.0,1개월 자유이용권과 레슨,6490014,전남,장흥군
221,요가비움채움필라테스,요가,0.0,110000.0,"1:1 맞춤수업 - 필라테스,요가,발레스트레칭",3766022,충남,보령시
225,파주시장애인태권도협회,태권도,0.0,110000.0,태권도,51271,경기,파주시
236,파주시장애인태권도협회,태권도,0.0,110000.0,태권도,3134014,경기,파주시
237,지엑스 짐,헬스,0.0,110000.0,스피닝,5694014,대구,달서구
244,대화볼링센타,볼링,0.0,95000.0,볼링,357042,전남,목포시
258,대화볼링센타,볼링,0.0,110000.0,볼링,4603014,전남,목포시
268,지곡당구클럽,기타종목,0.0,95000.0,"당구(3구, 4구)",2428001,전북,군산시
277,지곡당구클럽,기타종목,0.0,110000.0,당구,4775015,전북,군산시
284,바디짐,헬스,0.0,80000.0,헬스,3860014,경북,영주시
285,리핏,기타종목,0.0,110000.0,PT,7311016,부산,해운대구
288,리프레쉬피트니스 3호점,헬스,0.0,99000.0,헬스장이용,4619014,경기,시흥시
290,더우아필라테스,필라테스,0.0,110000.0,더우아필라테스,6783015,충남,계룡시
